Apr. 7, 2019   11:39:31
Tafel Plot
File: D:\process\data\tafel1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Segment = 2
Hold Time at Ef (sec) = 0
Scan Rate (V/s) = 0.01
Quiet Time (sec) = 10

Potential/V, Current/A, log(i/A)
0.446, -1.229e-7, -6.910e+0
0.445, -1.217e-7, -6.915e+0
0.444, -1.204e-7, -6.919e+0
0.443, -1.192e-7, -6.924e+0
0.442, -1.179e-7, -6.928e+0
0.441, -1.168e-7, -6.933e+0
0.440, -1.157e-7, -6.937e+0
0.439, -1.144e-7, -6.942e+0
0.438, -1.135e-7, -6.945e+0
0.437, -1.122e-7, -6.950e+0
0.436, -1.110e-7, -6.955e+0
0.435, -1.102e-7, -6.958e+0
0.434, -1.090e-7, -6.963e+0
0.433, -1.079e-7, -6.967e+0
0.432, -1.069e-7, -6.971e+0
0.431, -1.057e-7, -6.976e+0
0.430, -1.047e-7, -6.980e+0
0.429, -1.035e-7, -6.985e+0
0.428, -1.025e-7, -6.989e+0
0.427, -1.015e-7, -6.993e+0
0.426, -1.004e-7, -6.998e+0
0.425, -9.951e-8, -7.002e+0
0.424, -9.848e-8, -7.007e+0
0.423, -9.736e-8, -7.012e+0
0.422, -9.660e-8, -7.015e+0
0.421, -9.546e-8, -7.020e+0
0.420, -9.441e-8, -7.025e+0
0.419, -9.365e-8, -7.028e+0
0.418, -9.257e-8, -7.034e+0
0.417, -9.161e-8, -7.038e+0
0.416, -9.069e-8, -7.042e+0
0.415, -8.965e-8, -7.047e+0
0.414, -8.880e-8, -7.052e+0
0.413, -8.786e-8, -7.056e+0
0.412, -8.687e-8, -7.061e+0
0.411, -8.599e-8, -7.066e+0
0.410, -8.483e-8, -7.071e+0
0.409, -8.378e-8, -7.077e+0
0.408, -8.305e-8, -7.081e+0
0.407, -8.212e-8, -7.086e+0
0.406, -8.144e-8, -7.089e+0
0.405, -8.041e-8, -7.095e+0
0.404, -7.943e-8, -7.100e+0
0.403, -7.868e-8, -7.104e+0
0.402, -7.770e-8, -7.110e+0
0.401, -7.684e-8, -7.114e+0
0.400, -7.604e-8, -7.119e+0
0.399, -7.503e-8, -7.125e+0
0.398, -7.423e-8, -7.129e+0
0.397, -7.334e-8, -7.135e+0
0.396, -7.245e-8, -7.140e+0
0.395, -7.163e-8, -7.145e+0
0.394, -7.068e-8, -7.151e+0
0.393, -6.986e-8, -7.156e+0
0.392, -6.894e-8, -7.162e+0
0.391, -6.797e-8, -7.168e+0
0.390, -6.722e-8, -7.172e+0
0.389, -6.627e-8, -7.179e+0
0.388, -6.534e-8, -7.185e+0
0.387, -6.463e-8, -7.190e+0
0.386, -6.366e-8, -7.196e+0
0.385, -6.280e-8, -7.202e+0
0.384, -6.209e-8, -7.207e+0
0.383, -6.110e-8, -7.214e+0
0.382, -6.031e-8, -7.220e+0
0.381, -5.942e-8, -7.226e+0
0.380, -5.849e-8, -7.233e+0
0.379, -5.765e-8, -7.239e+0
0.378, -5.668e-8, -7.247e+0
0.377, -5.582e-8, -7.253e+0
0.376, -5.494e-8, -7.260e+0
0.375, -5.399e-8, -7.268e+0
0.374, -5.330e-8, -7.273e+0
0.373, -5.228e-8, -7.282e+0
0.372, -5.128e-8, -7.290e+0
0.371, -5.060e-8, -7.296e+0
0.370, -4.955e-8, -7.305e+0
0.369, -4.863e-8, -7.313e+0
0.368, -4.780e-8, -7.321e+0
0.367, -4.673e-8, -7.330e+0
0.366, -4.586e-8, -7.339e+0
0.365, -4.483e-8, -7.348e+0
0.364, -4.380e-8, -7.359e+0
0.363, -4.293e-8, -7.367e+0
0.362, -4.187e-8, -7.378e+0
0.361, -4.096e-8, -7.388e+0
0.360, -3.993e-8, -7.399e+0
0.359, -3.884e-8, -7.411e+0
0.358, -3.799e-8, -7.420e+0
0.357, -3.688e-8, -7.433e+0
0.356, -3.583e-8, -7.446e+0
0.355, -3.505e-8, -7.455e+0
0.354, -3.380e-8, -7.471e+0
0.353, -3.270e-8, -7.485e+0
0.352, -3.164e-8, -7.500e+0
0.351, -3.037e-8, -7.518e+0
0.350, -2.940e-8, -7.532e+0
0.349, -2.820e-8, -7.550e+0
0.348, -2.698e-8, -7.569e+0
0.347, -2.584e-8, -7.588e+0
0.346, -2.458e-8, -7.609e+0
0.345, -2.344e-8, -7.630e+0
0.344, -2.221e-8, -7.653e+0
0.343, -2.083e-8, -7.681e+0
0.342, -1.972e-8, -7.705e+0
0.341, -1.822e-8, -7.740e+0
0.340, -1.680e-8, -7.775e+0
0.339, -1.555e-8, -7.808e+0
0.338, -1.404e-8, -7.853e+0
0.337, -1.267e-8, -7.897e+0
0.336, -1.130e-8, -7.947e+0
0.335, -9.674e-9, -8.014e+0
0.334, -8.244e-9, -8.084e+0
0.333, -6.733e-9, -8.172e+0
0.332, -5.105e-9, -8.292e+0
0.331, -3.538e-9, -8.451e+0
0.330, -1.747e-9, -8.758e+0
0.329, -1.369e-10, -9.864e+0
0.328, 1.672e-9, -8.777e+0
0.327, 3.621e-9, -8.441e+0
0.326, 5.349e-9, -8.272e+0
0.325, 7.377e-9, -8.132e+0
0.324, 9.492e-9, -8.023e+0
0.323, 1.125e-8, -7.949e+0
0.322, 1.350e-8, -7.870e+0
0.321, 1.562e-8, -7.806e+0
0.320, 1.765e-8, -7.753e+0
0.319, 1.999e-8, -7.699e+0
0.318, 2.213e-8, -7.655e+0
0.317, 2.451e-8, -7.611e+0
0.316, 2.692e-8, -7.570e+0
0.315, 2.940e-8, -7.532e+0
0.314, 3.208e-8, -7.494e+0
0.313, 3.464e-8, -7.460e+0
0.312, 3.735e-8, -7.428e+0
0.311, 4.026e-8, -7.395e+0
0.310, 4.291e-8, -7.367e+0
0.309, 4.601e-8, -7.337e+0
0.308, 4.915e-8, -7.308e+0
0.307, 5.218e-8, -7.283e+0
0.306, 5.557e-8, -7.255e+0
0.305, 5.877e-8, -7.231e+0
0.304, 6.205e-8, -7.207e+0
0.303, 6.574e-8, -7.182e+0
0.302, 6.926e-8, -7.159e+0
0.301, 7.312e-8, -7.136e+0
0.300, 7.706e-8, -7.113e+0
0.299, 8.093e-8, -7.092e+0
0.298, 8.518e-8, -7.070e+0
0.297, 8.934e-8, -7.049e+0
0.296, 9.385e-8, -7.028e+0
0.295, 9.851e-8, -7.007e+0
0.294, 1.028e-7, -6.988e+0
0.293, 1.077e-7, -6.968e+0
0.292, 1.128e-7, -6.948e+0
0.291, 1.176e-7, -6.930e+0
0.290, 1.231e-7, -6.910e+0
0.289, 1.285e-7, -6.891e+0
0.288, 1.341e-7, -6.873e+0
0.287, 1.401e-7, -6.854e+0
0.286, 1.458e-7, -6.836e+0
0.285, 1.520e-7, -6.818e+0
0.284, 1.584e-7, -6.800e+0
0.283, 1.649e-7, -6.783e+0
0.282, 1.717e-7, -6.765e+0
0.281, 1.783e-7, -6.749e+0
0.280, 1.855e-7, -6.732e+0
0.279, 1.931e-7, -6.714e+0
0.278, 2.002e-7, -6.698e+0
0.277, 2.083e-7, -6.681e+0
0.276, 2.165e-7, -6.665e+0
0.275, 2.245e-7, -6.649e+0
0.274, 2.333e-7, -6.632e+0
0.273, 2.420e-7, -6.616e+0
0.272, 2.507e-7, -6.601e+0
0.271, 2.603e-7, -6.585e+0
0.270, 2.696e-7, -6.569e+0
0.269, 2.793e-7, -6.554e+0
0.268, 2.893e-7, -6.539e+0
0.267, 2.994e-7, -6.524e+0
0.266, 3.102e-7, -6.508e+0
0.265, 3.207e-7, -6.494e+0
0.264, 3.321e-7, -6.479e+0
0.263, 3.438e-7, -6.464e+0
0.262, 3.551e-7, -6.450e+0
0.261, 3.674e-7, -6.435e+0
0.260, 3.798e-7, -6.421e+0
0.259, 3.916e-7, -6.407e+0
0.258, 4.049e-7, -6.393e+0
0.257, 4.181e-7, -6.379e+0
0.256, 4.311e-7, -6.365e+0
0.255, 4.449e-7, -6.352e+0
0.254, 4.585e-7, -6.339e+0
0.253, 4.727e-7, -6.325e+0
0.252, 4.872e-7, -6.312e+0
0.251, 5.018e-7, -6.299e+0
0.250, 5.173e-7, -6.286e+0
0.249, 5.324e-7, -6.274e+0
0.248, 5.480e-7, -6.261e+0
0.247, 5.642e-7, -6.249e+0
0.246, 5.793e-7, -6.237e+0
0.245, 5.961e-7, -6.225e+0
0.244, 6.128e-7, -6.213e+0
0.243, 6.285e-7, -6.202e+0
0.242, 6.460e-7, -6.190e+0
0.241, 6.629e-7, -6.179e+0
0.240, 6.799e-7, -6.168e+0
0.239, 6.977e-7, -6.156e+0
0.238, 7.150e-7, -6.146e+0
0.237, 7.332e-7, -6.135e+0
0.236, 7.511e-7, -6.124e+0
0.235, 7.687e-7, -6.114e+0
0.234, 7.871e-7, -6.104e+0
0.233, 8.045e-7, -6.094e+0
0.232, 8.232e-7, -6.084e+0
0.231, 8.418e-7, -6.075e+0
0.230, 8.583e-7, -6.066e+0
0.229, 8.772e-7, -6.057e+0
0.228, 8.956e-7, -6.048e+0
0.227, 9.128e-7, -6.040e+0
0.226, 9.316e-7, -6.031e+0
0.225, 9.494e-7, -6.023e+0
0.224, 9.673e-7, -6.014e+0
0.223, 9.855e-7, -6.006e+0
0.222, 1.002e-6, -5.999e+0
0.221, 1.020e-6, -5.991e+0
0.220, 1.037e-6, -5.984e+0
0.219, 1.054e-6, -5.977e+0
0.218, 1.071e-6, -5.970e+0
0.217, 1.086e-6, -5.964e+0
0.216, 1.103e-6, -5.957e+0
0.215, 1.119e-6, -5.951e+0
0.214, 1.133e-6, -5.946e+0
0.213, 1.150e-6, -5.939e+0
0.212, 1.165e-6, -5.934e+0
0.211, 1.179e-6, -5.929e+0
0.210, 1.193e-6, -5.923e+0
0.209, 1.207e-6, -5.918e+0
0.208, 1.220e-6, -5.914e+0
0.207, 1.233e-6, -5.909e+0
0.206, 1.245e-6, -5.905e+0
0.205, 1.258e-6, -5.900e+0
0.204, 1.270e-6, -5.896e+0
0.203, 1.280e-6, -5.893e+0
0.202, 1.291e-6, -5.889e+0
0.201, 1.300e-6, -5.886e+0
0.200, 1.309e-6, -5.883e+0
0.199, 1.319e-6, -5.880e+0
0.198, 1.327e-6, -5.877e+0
0.197, 1.335e-6, -5.874e+0
0.196, 1.343e-6, -5.872e+0
0.195, 1.349e-6, -5.870e+0
0.194, 1.357e-6, -5.868e+0
0.193, 1.362e-6, -5.866e+0
0.192, 1.367e-6, -5.864e+0
0.191, 1.373e-6, -5.862e+0
0.190, 1.377e-6, -5.861e+0
0.189, 1.382e-6, -5.860e+0
0.188, 1.385e-6, -5.858e+0
0.187, 1.389e-6, -5.857e+0
0.186, 1.392e-6, -5.856e+0
0.185, 1.394e-6, -5.856e+0
0.184, 1.396e-6, -5.855e+0
0.183, 1.398e-6, -5.854e+0
0.182, 1.399e-6, -5.854e+0
0.181, 1.400e-6, -5.854e+0
0.180, 1.401e-6, -5.853e+0
0.179, 1.400e-6, -5.854e+0
0.178, 1.401e-6, -5.854e+0
0.177, 1.400e-6, -5.854e+0
0.176, 1.399e-6, -5.854e+0
0.175, 1.398e-6, -5.854e+0
0.174, 1.397e-6, -5.855e+0
0.173, 1.395e-6, -5.855e+0
0.172, 1.393e-6, -5.856e+0
0.171, 1.391e-6, -5.857e+0
0.170, 1.389e-6, -5.857e+0
0.169, 1.386e-6, -5.858e+0
0.168, 1.383e-6, -5.859e+0
0.167, 1.381e-6, -5.860e+0
0.166, 1.377e-6, -5.861e+0
0.165, 1.374e-6, -5.862e+0
0.164, 1.370e-6, -5.863e+0
0.163, 1.366e-6, -5.865e+0
0.162, 1.363e-6, -5.866e+0
0.161, 1.359e-6, -5.867e+0
0.160, 1.355e-6, -5.868e+0
0.159, 1.351e-6, -5.869e+0
0.158, 1.346e-6, -5.871e+0
0.157, 1.342e-6, -5.872e+0
0.156, 1.337e-6, -5.874e+0
0.155, 1.332e-6, -5.875e+0
0.154, 1.328e-6, -5.877e+0
0.153, 1.323e-6, -5.878e+0
0.152, 1.318e-6, -5.880e+0
0.151, 1.314e-6, -5.882e+0
0.150, 1.308e-6, -5.883e+0
0.149, 1.303e-6, -5.885e+0
0.148, 1.299e-6, -5.887e+0
0.147, 1.293e-6, -5.888e+0
0.146, 1.289e-6, -5.890e+0
0.145, 1.283e-6, -5.892e+0
0.144, 1.278e-6, -5.893e+0
0.143, 1.273e-6, -5.895e+0
0.142, 1.268e-6, -5.897e+0
0.141, 1.263e-6, -5.899e+0
0.140, 1.258e-6, -5.900e+0
0.139, 1.253e-6, -5.902e+0
0.138, 1.248e-6, -5.904e+0
0.137, 1.243e-6, -5.906e+0
0.136, 1.238e-6, -5.907e+0
0.135, 1.233e-6, -5.909e+0
0.134, 1.228e-6, -5.911e+0
0.133, 1.223e-6, -5.913e+0
0.132, 1.218e-6, -5.914e+0
0.131, 1.213e-6, -5.916e+0
0.130, 1.208e-6, -5.918e+0
0.129, 1.203e-6, -5.920e+0
0.128, 1.198e-6, -5.921e+0
0.127, 1.194e-6, -5.923e+0
0.126, 1.189e-6, -5.925e+0
0.125, 1.184e-6, -5.927e+0
0.124, 1.179e-6, -5.928e+0
0.123, 1.174e-6, -5.930e+0
0.122, 1.170e-6, -5.932e+0
0.121, 1.165e-6, -5.934e+0
0.120, 1.161e-6, -5.935e+0
0.119, 1.156e-6, -5.937e+0
0.118, 1.151e-6, -5.939e+0
0.117, 1.147e-6, -5.940e+0
0.116, 1.143e-6, -5.942e+0
0.115, 1.138e-6, -5.944e+0
0.114, 1.134e-6, -5.945e+0
0.113, 1.129e-6, -5.947e+0
0.112, 1.125e-6, -5.949e+0
0.111, 1.121e-6, -5.950e+0
0.110, 1.116e-6, -5.952e+0
0.109, 1.112e-6, -5.954e+0
0.108, 1.108e-6, -5.955e+0
0.107, 1.104e-6, -5.957e+0
0.106, 1.100e-6, -5.959e+0
0.105, 1.096e-6, -5.960e+0
0.104, 1.092e-6, -5.962e+0
0.103, 1.088e-6, -5.963e+0
0.102, 1.084e-6, -5.965e+0
0.101, 1.080e-6, -5.967e+0
0.100, 1.076e-6, -5.968e+0
0.099, 1.072e-6, -5.970e+0
0.098, 1.069e-6, -5.971e+0
0.097, 1.065e-6, -5.973e+0
0.096, 1.061e-6, -5.974e+0
0.095, 1.058e-6, -5.976e+0
0.094, 1.054e-6, -5.977e+0
0.093, 1.050e-6, -5.979e+0
0.092, 1.047e-6, -5.980e+0
0.091, 1.043e-6, -5.982e+0
0.090, 1.040e-6, -5.983e+0
0.089, 1.036e-6, -5.985e+0
0.088, 1.033e-6, -5.986e+0
0.087, 1.029e-6, -5.987e+0
0.086, 1.026e-6, -5.989e+0
0.085, 1.023e-6, -5.990e+0
0.084, 1.019e-6, -5.992e+0
0.083, 1.016e-6, -5.993e+0
0.082, 1.013e-6, -5.994e+0
0.081, 1.010e-6, -5.996e+0
0.080, 1.007e-6, -5.997e+0
0.079, 1.004e-6, -5.998e+0
0.078, 1.001e-6, -6.000e+0
0.077, 9.974e-7, -6.001e+0
0.076, 9.944e-7, -6.002e+0
0.075, 9.914e-7, -6.004e+0
0.074, 9.886e-7, -6.005e+0
0.073, 9.856e-7, -6.006e+0
0.072, 9.828e-7, -6.008e+0
0.071, 9.801e-7, -6.009e+0
0.070, 9.772e-7, -6.010e+0
0.069, 9.745e-7, -6.011e+0
0.068, 9.718e-7, -6.012e+0
0.067, 9.690e-7, -6.014e+0
0.066, 9.665e-7, -6.015e+0
0.065, 9.640e-7, -6.016e+0
0.064, 9.612e-7, -6.017e+0
0.063, 9.588e-7, -6.018e+0
0.062, 9.562e-7, -6.019e+0
0.061, 9.537e-7, -6.021e+0
0.060, 9.512e-7, -6.022e+0
0.059, 9.488e-7, -6.023e+0
0.058, 9.465e-7, -6.024e+0
0.057, 9.441e-7, -6.025e+0
0.056, 9.417e-7, -6.026e+0
0.055, 9.395e-7, -6.027e+0
0.054, 9.371e-7, -6.028e+0
0.053, 9.350e-7, -6.029e+0
0.052, 9.329e-7, -6.030e+0
0.051, 9.305e-7, -6.031e+0
0.050, 9.285e-7, -6.032e+0
0.049, 9.264e-7, -6.033e+0
0.048, 9.242e-7, -6.034e+0
0.047, 9.222e-7, -6.035e+0
0.046, 9.201e-7, -6.036e+0
0.045, 9.182e-7, -6.037e+0
0.044, 9.163e-7, -6.038e+0
0.043, 9.143e-7, -6.039e+0
0.042, 9.124e-7, -6.040e+0
0.041, 9.104e-7, -6.041e+0
0.040, 9.087e-7, -6.042e+0
0.039, 9.070e-7, -6.042e+0
0.038, 9.049e-7, -6.043e+0
0.037, 9.032e-7, -6.044e+0
0.036, 9.015e-7, -6.045e+0
0.035, 8.996e-7, -6.046e+0
0.034, 8.981e-7, -6.047e+0
0.033, 8.964e-7, -6.047e+0
0.032, 8.947e-7, -6.048e+0
0.031, 8.933e-7, -6.049e+0
0.030, 8.915e-7, -6.050e+0
0.029, 8.900e-7, -6.051e+0
0.028, 8.885e-7, -6.051e+0
0.027, 8.870e-7, -6.052e+0
0.026, 8.855e-7, -6.053e+0
0.025, 8.839e-7, -6.054e+0
0.024, 8.824e-7, -6.054e+0
0.023, 8.811e-7, -6.055e+0
0.022, 8.795e-7, -6.056e+0
0.021, 8.783e-7, -6.056e+0
0.020, 8.770e-7, -6.057e+0
0.019, 8.756e-7, -6.058e+0
0.018, 8.743e-7, -6.058e+0
0.017, 8.730e-7, -6.059e+0
0.016, 8.716e-7, -6.060e+0
0.015, 8.705e-7, -6.060e+0
0.014, 8.692e-7, -6.061e+0
0.013, 8.680e-7, -6.061e+0
0.012, 8.669e-7, -6.062e+0
0.011, 8.656e-7, -6.063e+0
0.010, 8.646e-7, -6.063e+0
0.009, 8.634e-7, -6.064e+0
0.008, 8.623e-7, -6.064e+0
0.007, 8.613e-7, -6.065e+0
0.006, 8.602e-7, -6.065e+0
0.005, 8.592e-7, -6.066e+0
0.004, 8.583e-7, -6.066e+0
0.003, 8.571e-7, -6.067e+0
0.002, 8.563e-7, -6.067e+0
0.001, 8.554e-7, -6.068e+0
0.000, 8.547e-7, -6.068e+0
-0.001, 8.538e-7, -6.069e+0
-0.002, 8.527e-7, -6.069e+0
-0.003, 8.518e-7, -6.070e+0
-0.004, 8.510e-7, -6.070e+0
-0.005, 8.501e-7, -6.071e+0
-0.006, 8.494e-7, -6.071e+0
-0.007, 8.486e-7, -6.071e+0
-0.008, 8.478e-7, -6.072e+0
-0.009, 8.471e-7, -6.072e+0
-0.010, 8.462e-7, -6.073e+0
-0.011, 8.456e-7, -6.073e+0
-0.012, 8.450e-7, -6.073e+0
-0.013, 8.441e-7, -6.074e+0
-0.014, 8.435e-7, -6.074e+0
-0.015, 8.429e-7, -6.074e+0
-0.016, 8.422e-7, -6.075e+0
-0.017, 8.417e-7, -6.075e+0
-0.018, 8.411e-7, -6.075e+0
-0.019, 8.405e-7, -6.075e+0
-0.020, 8.400e-7, -6.076e+0
-0.021, 8.394e-7, -6.076e+0
-0.022, 8.390e-7, -6.076e+0
-0.023, 8.384e-7, -6.077e+0
-0.024, 8.380e-7, -6.077e+0
-0.025, 8.376e-7, -6.077e+0
-0.026, 8.370e-7, -6.077e+0
-0.027, 8.367e-7, -6.077e+0
-0.028, 8.363e-7, -6.078e+0
-0.029, 8.358e-7, -6.078e+0
-0.030, 8.355e-7, -6.078e+0
-0.031, 8.352e-7, -6.078e+0
-0.032, 8.349e-7, -6.078e+0
-0.033, 8.347e-7, -6.078e+0
-0.034, 8.343e-7, -6.079e+0
-0.035, 8.340e-7, -6.079e+0
-0.036, 8.338e-7, -6.079e+0
-0.037, 8.335e-7, -6.079e+0
-0.038, 8.334e-7, -6.079e+0
-0.039, 8.331e-7, -6.079e+0
-0.040, 8.329e-7, -6.079e+0
-0.041, 8.329e-7, -6.079e+0
-0.042, 8.326e-7, -6.080e+0
-0.043, 8.326e-7, -6.080e+0
-0.044, 8.325e-7, -6.080e+0
-0.045, 8.323e-7, -6.080e+0
-0.046, 8.324e-7, -6.080e+0
-0.047, 8.323e-7, -6.080e+0
-0.048, 8.322e-7, -6.080e+0
-0.049, 8.323e-7, -6.080e+0
-0.050, 8.323e-7, -6.080e+0
-0.051, 8.323e-7, -6.080e+0
-0.052, 8.324e-7, -6.080e+0
-0.053, 8.324e-7, -6.080e+0
-0.054, 8.325e-7, -6.080e+0
-0.055, 8.325e-7, -6.080e+0
-0.056, 8.327e-7, -6.080e+0
-0.057, 8.329e-7, -6.079e+0
-0.058, 8.330e-7, -6.079e+0
-0.059, 8.332e-7, -6.079e+0
-0.060, 8.335e-7, -6.079e+0
-0.061, 8.335e-7, -6.079e+0
-0.062, 8.339e-7, -6.079e+0
-0.063, 8.342e-7, -6.079e+0
-0.064, 8.343e-7, -6.079e+0
-0.065, 8.347e-7, -6.078e+0
-0.066, 8.350e-7, -6.078e+0
-0.067, 8.353e-7, -6.078e+0
-0.068, 8.357e-7, -6.078e+0
-0.069, 8.360e-7, -6.078e+0
-0.070, 8.365e-7, -6.078e+0
-0.071, 8.369e-7, -6.077e+0
-0.072, 8.373e-7, -6.077e+0
-0.073, 8.378e-7, -6.077e+0
-0.074, 8.381e-7, -6.077e+0
-0.075, 8.387e-7, -6.076e+0
-0.076, 8.393e-7, -6.076e+0
-0.077, 8.396e-7, -6.076e+0
-0.078, 8.403e-7, -6.076e+0
-0.079, 8.408e-7, -6.075e+0
-0.080, 8.413e-7, -6.075e+0
-0.081, 8.420e-7, -6.075e+0
-0.082, 8.426e-7, -6.074e+0
-0.083, 8.433e-7, -6.074e+0
-0.084, 8.441e-7, -6.074e+0
-0.085, 8.447e-7, -6.073e+0
-0.086, 8.455e-7, -6.073e+0
-0.087, 8.461e-7, -6.073e+0
-0.088, 8.469e-7, -6.072e+0
-0.089, 8.478e-7, -6.072e+0
-0.090, 8.483e-7, -6.071e+0
-0.091, 8.493e-7, -6.071e+0
-0.092, 8.502e-7, -6.070e+0
-0.093, 8.508e-7, -6.070e+0
-0.094, 8.518e-7, -6.070e+0
-0.095, 8.528e-7, -6.069e+0
-0.096, 8.537e-7, -6.069e+0
-0.097, 8.547e-7, -6.068e+0
-0.098, 8.556e-7, -6.068e+0
-0.099, 8.566e-7, -6.067e+0
-0.100, 8.089e-7, -6.092e+0
-0.099, 7.859e-7, -6.105e+0
-0.098, 7.713e-7, -6.113e+0
-0.097, 7.606e-7, -6.119e+0
-0.096, 7.516e-7, -6.124e+0
-0.095, 7.435e-7, -6.129e+0
-0.094, 7.361e-7, -6.133e+0
-0.093, 7.293e-7, -6.137e+0
-0.092, 7.228e-7, -6.141e+0
-0.091, 7.167e-7, -6.145e+0
-0.090, 7.108e-7, -6.148e+0
-0.089, 7.052e-7, -6.152e+0
-0.088, 6.998e-7, -6.155e+0
-0.087, 6.946e-7, -6.158e+0
-0.086, 6.897e-7, -6.161e+0
-0.085, 6.849e-7, -6.164e+0
-0.084, 6.801e-7, -6.167e+0
-0.083, 6.757e-7, -6.170e+0
-0.082, 6.713e-7, -6.173e+0
-0.081, 6.670e-7, -6.176e+0
-0.080, 6.630e-7, -6.178e+0
-0.079, 6.589e-7, -6.181e+0
-0.078, 6.550e-7, -6.184e+0
-0.077, 6.513e-7, -6.186e+0
-0.076, 6.475e-7, -6.189e+0
-0.075, 6.439e-7, -6.191e+0
-0.074, 6.403e-7, -6.194e+0
-0.073, 6.367e-7, -6.196e+0
-0.072, 6.333e-7, -6.198e+0
-0.071, 6.298e-7, -6.201e+0
-0.070, 6.266e-7, -6.203e+0
-0.069, 6.234e-7, -6.205e+0
-0.068, 6.202e-7, -6.207e+0
-0.067, 6.173e-7, -6.209e+0
-0.066, 6.143e-7, -6.212e+0
-0.065, 6.112e-7, -6.214e+0
-0.064, 6.085e-7, -6.216e+0
-0.063, 6.055e-7, -6.218e+0
-0.062, 6.027e-7, -6.220e+0
-0.061, 6.000e-7, -6.222e+0
-0.060, 5.972e-7, -6.224e+0
-0.059, 5.947e-7, -6.226e+0
-0.058, 5.921e-7, -6.228e+0
-0.057, 5.895e-7, -6.230e+0
-0.056, 5.870e-7, -6.231e+0
-0.055, 5.845e-7, -6.233e+0
-0.054, 5.822e-7, -6.235e+0
-0.053, 5.797e-7, -6.237e+0
-0.052, 5.773e-7, -6.239e+0
-0.051, 5.751e-7, -6.240e+0
-0.050, 5.728e-7, -6.242e+0
-0.049, 5.704e-7, -6.244e+0
-0.048, 5.683e-7, -6.245e+0
-0.047, 5.660e-7, -6.247e+0
-0.046, 5.639e-7, -6.249e+0
-0.045, 5.618e-7, -6.250e+0
-0.044, 5.596e-7, -6.252e+0
-0.043, 5.575e-7, -6.254e+0
-0.042, 5.554e-7, -6.255e+0
-0.041, 5.534e-7, -6.257e+0
-0.040, 5.515e-7, -6.258e+0
-0.039, 5.495e-7, -6.260e+0
-0.038, 5.476e-7, -6.262e+0
-0.037, 5.456e-7, -6.263e+0
-0.036, 5.437e-7, -6.265e+0
-0.035, 5.420e-7, -6.266e+0
-0.034, 5.401e-7, -6.268e+0
-0.033, 5.382e-7, -6.269e+0
-0.032, 5.365e-7, -6.270e+0
-0.031, 5.347e-7, -6.272e+0
-0.030, 5.329e-7, -6.273e+0
-0.029, 5.313e-7, -6.275e+0
-0.028, 5.295e-7, -6.276e+0
