Apr. 7, 2019   11:43:01
Square Wave Voltammetry
File: D:\process\data\swv1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Incr E (V) = 0.004
Amplitude (V) = 0.025
Frequency (Hz) = 15
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Difference:

Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.248, 7.756e-6, 5.082e-6, -2.673e-6
0.244, 8.257e-6, 5.458e-6, -2.799e-6
0.240, 8.733e-6, 5.825e-6, -2.908e-6
0.236, 9.169e-6, 6.169e-6, -2.999e-6
0.232, 9.556e-6, 6.490e-6, -3.066e-6
0.228, 9.883e-6, 6.777e-6, -3.106e-6
0.224, 1.013e-5, 7.025e-6, -3.110e-6
0.220, 1.030e-5, 7.225e-6, -3.080e-6
0.216, 1.039e-5, 7.381e-6, -3.009e-6
0.212, 1.039e-5, 7.482e-6, -2.904e-6
0.208, 1.030e-5, 7.538e-6, -2.759e-6
0.204, 1.012e-5, 7.540e-6, -2.582e-6
0.200, 9.871e-6, 7.500e-6, -2.371e-6
0.196, 9.553e-6, 7.415e-6, -2.139e-6
0.192, 9.178e-6, 7.294e-6, -1.884e-6
0.188, 8.756e-6, 7.138e-6, -1.618e-6
0.184, 8.303e-6, 6.959e-6, -1.344e-6
0.180, 7.829e-6, 6.757e-6, -1.072e-6
0.176, 7.345e-6, 6.542e-6, -8.031e-7
0.172, 6.865e-6, 6.316e-6, -5.494e-7
0.168, 6.393e-6, 6.087e-6, -3.057e-7
0.164, 5.941e-6, 5.856e-6, -8.408e-8
0.160, 5.510e-6, 5.632e-6, 1.225e-7
0.156, 5.107e-6, 5.413e-6, 3.063e-7
0.152, 4.730e-6, 5.203e-6, 4.733e-7
0.148, 4.383e-6, 5.001e-6, 6.178e-7
0.144, 4.066e-6, 4.812e-6, 7.461e-7
0.140, 3.774e-6, 4.630e-6, 8.564e-7
0.136, 3.510e-6, 4.463e-6, 9.530e-7
0.132, 3.271e-6, 4.305e-6, 1.034e-6
0.128, 3.055e-6, 4.158e-6, 1.103e-6
0.124, 2.859e-6, 4.021e-6, 1.162e-6
0.120, 2.681e-6, 3.892e-6, 1.211e-6
0.116, 2.522e-6, 3.773e-6, 1.251e-6
0.112, 2.378e-6, 3.663e-6, 1.285e-6
0.108, 2.246e-6, 3.559e-6, 1.313e-6
0.104, 2.127e-6, 3.462e-6, 1.335e-6
0.100, 2.021e-6, 3.373e-6, 1.352e-6
0.096, 1.921e-6, 3.289e-6, 1.367e-6
0.092, 1.833e-6, 3.210e-6, 1.377e-6
0.088, 1.754e-6, 3.138e-6, 1.384e-6
0.084, 1.680e-6, 3.069e-6, 1.389e-6
0.080, 1.616e-6, 3.007e-6, 1.391e-6
0.076, 1.559e-6, 2.948e-6, 1.389e-6
0.072, 1.504e-6, 2.893e-6, 1.389e-6
0.068, 1.456e-6, 2.841e-6, 1.385e-6
0.064, 1.415e-6, 2.795e-6, 1.380e-6
0.060, 1.376e-6, 2.749e-6, 1.374e-6
0.056, 1.341e-6, 2.708e-6, 1.367e-6
0.052, 1.312e-6, 2.670e-6, 1.357e-6
0.048, 1.284e-6, 2.634e-6, 1.350e-6
0.044, 1.262e-6, 2.601e-6, 1.339e-6
0.040, 1.241e-6, 2.571e-6, 1.330e-6
0.036, 1.221e-6, 2.542e-6, 1.321e-6
0.032, 1.206e-6, 2.515e-6, 1.309e-6
0.028, 1.192e-6, 2.491e-6, 1.299e-6
0.024, 1.180e-6, 2.468e-6, 1.289e-6
0.020, 1.170e-6, 2.447e-6, 1.277e-6
0.016, 1.161e-6, 2.428e-6, 1.268e-6
0.012, 1.152e-6, 2.409e-6, 1.257e-6
0.008, 1.146e-6, 2.393e-6, 1.247e-6
0.004, 1.140e-6, 2.377e-6, 1.237e-6
-0.000, 1.136e-6, 2.363e-6, 1.227e-6
-0.004, 1.132e-6, 2.350e-6, 1.218e-6
-0.008, 1.129e-6, 2.338e-6, 1.209e-6
-0.012, 1.127e-6, 2.327e-6, 1.200e-6
-0.016, 1.125e-6, 2.317e-6, 1.192e-6
-0.020, 1.124e-6, 2.307e-6, 1.183e-6
-0.024, 1.123e-6, 2.299e-6, 1.176e-6
-0.028, 1.123e-6, 2.292e-6, 1.169e-6
-0.032, 1.124e-6, 2.285e-6, 1.161e-6
-0.036, 1.124e-6, 2.279e-6, 1.155e-6
-0.040, 1.126e-6, 2.274e-6, 1.148e-6
-0.044, 1.127e-6, 2.269e-6, 1.142e-6
-0.048, 1.131e-6, 2.267e-6, 1.136e-6
-0.052, 1.131e-6, 2.262e-6, 1.131e-6
-0.056, 1.134e-6, 2.260e-6, 1.126e-6
-0.060, 1.138e-6, 2.259e-6, 1.121e-6
-0.064, 1.141e-6, 2.258e-6, 1.117e-6
-0.068, 1.145e-6, 2.257e-6, 1.112e-6
-0.072, 1.148e-6, 2.257e-6, 1.109e-6
-0.076, 1.152e-6, 2.258e-6, 1.105e-6
-0.080, 1.157e-6, 2.260e-6, 1.103e-6
-0.084, 1.162e-6, 2.262e-6, 1.100e-6
-0.088, 1.168e-6, 2.265e-6, 1.097e-6
-0.092, 1.173e-6, 2.268e-6, 1.095e-6
-0.096, 1.178e-6, 2.272e-6, 1.094e-6
-0.100, 1.184e-6, 2.277e-6, 1.092e-6
